gen,yield,height,lodging,size,protein,oil
G01,1.913,0.9675,2.78125,8.0125,38.9375,18.879375
G02,2.019375,0.893125,2.5625,9.2,40.0875,19.84125
G03,2.1092500000000003,0.939375,2.21875,10.78125,38.69375,20.677500000000002
G04,2.44375,0.941875,1.90625,11.0875,38.33125,21.07125
G05,2.247625,0.905625,2.09375,11.65,37.36875,21.71125
G06,2.11625,0.871875,2.25,11.2625,37.675,20.833750000000002
G07,2.410875,0.90875,1.9375,11.21875,37.4,21.261875
G08,1.7785,0.8475,2.15625,10.275,37.91875,19.813125
G09,2.238375,0.859375,1.96875,10.46875,37.8625,20.416875
G10,2.386125,0.82625,2.0625,11.20625,38.337500000000006,20.00125
G11,1.515375,0.9668749999999999,3.0625,6.425,41.975,17.79375
G12,1.437625,1.03875,3.15625,6.59375,42.625,16.885625
G13,1.461875,1.1043749999999999,3.09375,7.55,42.68125,17.53625
G14,1.9772500000000002,0.9824999999999999,2.75,7.49375,39.1625,18.81875
G15,1.984125,0.958125,2.5,8.35,40.4875,18.822499999999998
G16,1.64025,0.963125,2.84375,8.325,40.3125,19.02
G17,1.436125,0.969375,2.96875,7.00625,44.31875,16.225625
G18,1.38625,1.0475,3.03125,7.13125,44.06875,16.32375
G19,1.5951250000000001,1.010625,2.96875,7.96875,42.68125,18.1475
G20,1.544875,0.985,3.0625,8.01875,43.8125,17.148125
G21,1.578875,1.03375,2.9375,7.7,40.9375,17.325625
G22,1.699625,0.959375,2.8125,7.6625000000000005,44.1375,16.569375
G23,1.6764999999999999,1.0225,2.59375,6.725,42.2625,17.010625
G24,2.210125,0.92875,2.4375,9.70625,40.79375,19.85875
G25,2.125125,0.9825,2.3125,9.025,39.0375,20.6925
G26,2.337875,0.89,2.15625,9.725,40.90625,19.215
G27,2.42325,0.93125,2,9.89375,40.69375,19.42375
G28,1.908625,1.004375,2.6875,7.61875,38.925,19.675
G29,1.768,1.075625,3,8.9,41.14375,19.0275
G30,1.29625,1.0275,2.65625,7.7875000000000005,43.225,17.41125
G31,1.792125,0.961875,2.375,7.9437500000000005,40.8375,18.5875
G32,2.2105,1.155625,2.5,8.95,42.70625,18.06375
G33,2.264875,1.003125,2.53125,9.5,38.78125,19.718125
G34,1.90025,1.049375,2.53125,7.4,41.06875,18.593125
G35,1.953875,1.024375,2.21875,8.26875,41.125,18.435
G36,1.401375,0.920625,2.84375,7.73125,42.725,17.2125
G37,1.943625,1.105,2.84375,7.925,43.5375,17.975
G38,2.036375,0.835,2.21875,8.94375,40.518750000000004,19.376875000000002
G39,2.152375,1.1775,2.84375,8.325,41.69375,19.201875
G40,1.8435,0.9925,2.75,9.0125,42.0875,19.135625
G41,2.07625,1.088125,2.90625,10.28125,40.6125,20.151875
G42,2.0595,1.060625,2.53125,15.59375,42.4,20.265625
G43,1.501625,0.918125,2.5625,7.01875,41.4375,17.810000000000002
G44,2.180875,0.661875,1.75,15.75,38.53125,21.9225
G45,2.907,0.608125,1.65625,18.95,37.1875,23.16
G46,2.358625,0.6,1.5,16.23125,37.49375,22.89875
G47,2.655,0.646875,1.375,18.53125,39.03125,23.174374999999998
G48,3.0460000000000003,0.634375,1.875,16.23125,38.3125,24.098125
G49,3.224,0.8462500000000001,2.03125,18.06875,36.6125,22.9775
G50,2.9745,0.616875,1.78125,16.66875,39.26875,24.053125
G51,1.357125,0.565625,1.59375,18.01875,40.325,21.606875
G52,1.458875,0.50125,1.40625,14.1125,39.21875,21.79375
G53,2.873875,0.64,1.65625,19.20625,38.90625,23.374375
G54,2.1415,0.5725,1.15625,19.18125,38.41875,24.003125
G55,2.527125,0.481875,1.25,18.21875,40.3125,23.09
G56,2.82025,0.5625,1.40625,18.64375,39.83125,22.3875
G57,2.885375,0.57125,1.375,19.16875,40.3125,22.728749999999998
G58,1.538125,0.576875,1.53125,17.34375,38.95,21.9425
